Lipids,Regions,p_value,FoldChange,r
PE,rh_cuneus_volume,0.025541001202945498,10.234575772143291,0.05683151205604918
LPE,rh_cuneus_volume,0.17516639742563966,0.39071796341200016,0.03452158929572591
PI,rh_cuneus_volume,0.9158259367883871,1.2349903383143435,-0.0026919912883247884
PIP1,rh_cuneus_volume,6.624840474973146e-10,0.0008875891934915132,0.15630426048909243
LPI,rh_cuneus_volume,0.19084586079891822,0.20143109499334622,-0.03330752216597478
PS,rh_cuneus_volume,0.1891875767650472,-0.07542994173589623,0.033432356442276163
PG,rh_cuneus_volume,0.0003220686484600017,0.004895704275084175,0.09142024621810507
CE,rh_cuneus_volume,0.011369559954334477,67.04981128845847,-0.06440085283484735
COH,rh_cuneus_volume,0.30228051794019006,8.803836406481096,0.02626913453532475
DE,rh_cuneus_volume,0.40533886091463467,-0.1605760439596934,0.021191787430774198
DEDE,rh_cuneus_volume,0.9338658134719114,0.02447433341911435,-0.002113546910409255
METHYL,rh_cuneus_volume,0.39449422754522656,1.9734865681815508,-0.0216850013052263
DIMETHYL,rh_cuneus_volume,0.7526018666504348,1.314930459481278,-0.008028267632536654
FA,rh_cuneus_volume,0.5096281072013941,-2.5757069540617326,0.016794135575851143
AC,rh_cuneus_volume,0.7510171020941528,-0.0014364449365455861,-0.00808144786631763
CA,rh_cuneus_volume,0.7526513474018038,0.002063350842365613,-0.008026607761939433
DXCA,rh_cuneus_volume,0.37969069732624006,0.0010540965332850737,0.02237170037468024
DG,rh_cuneus_volume,0.013892350320394395,0.788523675580356,0.06259553577984218
TG,rh_cuneus_volume,0.23218192640037733,-53.61355841203056,0.030423370361390516
UBIQUINONE,rh_cuneus_volume,1.4165282064398e-08,-5.112914093095362,-0.1436994899645089
SPH,rh_entorhinal_volume,0.0007277227864287736,-0.13683873838718838,0.08590172922602024
S1P,rh_entorhinal_volume,0.21055226160744095,-1.7693271677259652,0.03188151124117171
DHCER,rh_entorhinal_volume,0.03168297533634748,-0.42731058905403635,0.05467840496107005
CER,rh_entorhinal_volume,0.00011530573553605324,0.12375032754702746,0.09797320151250104
CER1P,rh_entorhinal_volume,0.429492460087715,-0.015263821167032437,0.02012076950528917
HEXCER,rh_entorhinal_volume,0.2660529047674405,-4.3302894846262765,0.028321961043334804
HEX2CER,rh_entorhinal_volume,0.6103744856006443,-2.8212034689666288,-0.0129773897101094
HEX3CER,rh_entorhinal_volume,0.5999343781913977,-2.249750618751844,0.013358266471475918
GM3,rh_entorhinal_volume,0.0012475333381037875,0.688875651333174,-0.08207278697593055
GM1,rh_entorhinal_volume,0.44540590224013493,-0.046255654099496016,-0.01943419775133
SULFATIDE,rh_entorhinal_volume,0.6061818805437744,-1.6603473384708918,-0.013129991621455043
SM,rh_entorhinal_volume,0.004630232634730395,-420.3615334222086,0.0720293980930332
PA,rh_entorhinal_volume,0.28287676743525303,-0.1206999348270973,0.027346546183774512
PC,rh_entorhinal_volume,0.0653261464298307,-254.2633713758851,0.046915783013900966
LPC,rh_entorhinal_volume,0.06646922893967348,-34.573999100645786,0.046718118237137465
PE,rh_entorhinal_volume,0.20241900344482186,88.8395903887081,0.03245774532967684
LPE,rh_entorhinal_volume,0.08357133817383522,-0.17673144155327825,-0.044050038751662246
PI,rh_entorhinal_volume,0.6676883298467128,44.82339707850865,-0.01093450656958103
PIP1,rh_entorhinal_volume,0.0039752916824427765,-0.008531026854340207,0.07325784638039248
LPI,rh_entorhinal_volume,0.4509565059735147,-0.5153782782515834,0.019198028377829864
PS,rh_entorhinal_volume,0.1924863198623062,-1.0394787847509561,0.033184812147201294
PG,rh_entorhinal_volume,0.0201505221210249,0.12394522323227562,-0.059128512434641976
CE,rh_entorhinal_volume,0.05897377444445436,-3026.1427736459746,0.04806937840490601
COH,rh_entorhinal_volume,0.8173051373580612,-162.4014633027539,0.005883826162877327
DE,rh_entorhinal_volume,0.013284174269384776,-20.645679555384774,0.06300245268139895
DEDE,rh_entorhinal_volume,0.00046667396210248456,-0.054663635909980725,-0.08894752236269432
METHYL,rh_entorhinal_volume,0.02451991324605974,-19.19256959230748,0.05723201418859615
DIMETHYL,rh_entorhinal_volume,0.03350011251152907,-6.053438833751125,0.05411041972960855
FA,rh_entorhinal_volume,0.11177167880424026,-591.8257968141904,0.04048775916999445
AC,rh_entorhinal_volume,0.5774711333396928,-0.4983592615625249,0.01418815097259659
CA,rh_entorhinal_volume,0.9306230922096858,-0.044674403869985876,0.0022174351135549586
DXCA,rh_entorhinal_volume,0.34803248665413,-0.007991585171310035,-0.02389791227819126
DG,rh_entorhinal_volume,0.37298040100305624,1300.5318244335645,-0.022688379428608026
TG,rh_entorhinal_volume,0.0001799499508184893,2816.1099502259253,-0.0951840739355268
UBIQUINONE,rh_entorhinal_volume,0.18876760920874985,226.51841354544257,0.033464099022540196
SPH,rh_fusiform_volume,9.617951600423968e-07,-1.0506072170937024,0.12430070226410857
S1P,rh_fusiform_volume,0.0935950411953166,-2.356173528906411,0.042686808928673624
DHCER,rh_fusiform_volume,2.733431821926145e-06,-0.3263865527211065,0.11902660562479675
CER,rh_fusiform_volume,0.2840864183878449,-25.39898951174644,0.027277950782623277
CER1P,rh_fusiform_volume,0.0003848060352556541,0.007932484087987962,-0.09024120894684416
HEXCER,rh_fusiform_volume,0.6628233093234861,0.3384296703203413,0.01110503026943722
HEX2CER,rh_fusiform_volume,0.01760338180173415,0.17991100285052386,-0.06040681125906703
HEX3CER,rh_fusiform_volume,3.778776918956532e-06,2.4843852429801774,-0.11734550793932412
GM3,rh_fusiform_volume,2.659316391933327e-16,2.849180701298732,-0.20629707930009944
