Lipids,Regions,p_value,FoldChange,r
DEDE,rh_inferiorparietal_volume,0.45209421805092853,0.001994368425979547,-0.03765372957244887
METHYL,rh_inferiorparietal_volume,0.8856383568869558,1.9533627127593625,0.007204694572878968
DIMETHYL,rh_inferiorparietal_volume,0.6339547900963303,0.8620032668617634,0.023849757374684925
FA,rh_inferiorparietal_volume,0.027278708407449066,-54.00512761020864,0.11024553089515081
AC,rh_inferiorparietal_volume,0.46807664399367477,0.04525052954082284,0.03633679972072017
CA,rh_inferiorparietal_volume,0.14671417996784922,0.0006834501318793058,0.07260223687276561
DXCA,rh_inferiorparietal_volume,0.19506805803273222,0.00016600673806320073,0.06484003873147817
DG,rh_inferiorparietal_volume,0.9673850346010857,-1.8051127578032486,0.0020482505014288643
TG,rh_inferiorparietal_volume,0.8014411558796947,-29.390229127768944,-0.012597258892311156
UBIQUINONE,rh_inferiorparietal_volume,0.9371753007947861,-0.17999966619430346,0.003948424453635808
SPH,rh_inferiortemporal_volume,0.12045297351469889,0.002622026822528475,0.07767216045167691
S1P,rh_inferiortemporal_volume,0.12121960606990399,0.01997338635055586,0.07751256528775048
DHCER,rh_inferiortemporal_volume,0.6543921411609012,-0.0007851562479886945,0.022422705759647374
CER,rh_inferiortemporal_volume,0.14450433289320547,0.132700720744802,-0.07300064248543515
CER1P,rh_inferiortemporal_volume,0.06921258422133271,-0.0003784921240272808,-0.09083402502162495
HEXCER,rh_inferiortemporal_volume,0.4544472152979777,0.02086471681034831,0.03745823062596478
HEX2CER,rh_inferiortemporal_volume,0.09997949725681354,-0.03389807276639356,-0.08226255657032512
HEX3CER,rh_inferiortemporal_volume,0.3235140196591677,-0.07141890817914531,-0.0494256855612092
GM3,rh_inferiortemporal_volume,0.034876318085820604,-0.0025688314427888496,-0.10539337778807022
GM1,rh_inferiortemporal_volume,0.9089242286681724,-0.0020790651613944388,0.005730483835392726
SULFATIDE,rh_inferiortemporal_volume,0.8990011888095916,-0.025526267693768607,0.006358025556757043
SM,rh_inferiortemporal_volume,0.003575300720821809,2.3787002940032482,-0.14516939341787863
PA,rh_inferiortemporal_volume,0.013161498733977364,-0.002746552187656649,0.12372396174343277
PC,rh_inferiortemporal_volume,0.9562094789948953,-7.136370700176269,0.0027506991873166037
LPC,rh_inferiortemporal_volume,0.9181607914742752,-1.9169454131770833,-0.00514716160070911
PE,rh_inferiortemporal_volume,0.0040347592900907715,-2.5679638186265166,0.1432977596989285
LPE,rh_inferiortemporal_volume,0.39711978924873864,-0.05097005784222775,0.04239933245568727
PI,rh_inferiortemporal_volume,0.4401061906190712,-0.9531007317357661,-0.038658801990313296
PIP1,rh_inferiortemporal_volume,0.9212782025334207,0.0010244345286599633,0.004950446615671476
LPI,rh_inferiortemporal_volume,0.2223014846357376,-0.0019571629121185904,0.061079176511281294
PS,rh_inferiortemporal_volume,0.11930331691905653,0.05331781828610347,0.07791298371047546
PG,rh_inferiortemporal_volume,0.41261671384176596,-0.002446764472446334,0.04102460269699681
CE,rh_inferiortemporal_volume,0.12340961780728484,-7.63879729377965,-0.07706094635306251
COH,rh_inferiortemporal_volume,0.4395960230077356,-0.2854601979215805,-0.038701917756371995
DE,rh_inferiortemporal_volume,0.9698757083991544,0.03824013347415367,-0.0018917566796308864
DEDE,rh_inferiortemporal_volume,0.15756883225313142,-0.0025596170743016383,-0.0707089808506347
METHYL,rh_inferiortemporal_volume,0.25868633535945657,-1.0222379031718225,-0.056535977881310075
DIMETHYL,rh_inferiortemporal_volume,0.5213901889193331,-0.291521588892008,-0.03211218209989176
FA,rh_inferiortemporal_volume,0.14432711722992927,17.46354909254242,0.07303279294822758
AC,rh_inferiortemporal_volume,0.2747449849499859,0.024030813394275107,0.05467175757635897
CA,rh_inferiortemporal_volume,0.0115709552766114,0.0016128940577408647,0.12598130205945954
DXCA,rh_inferiortemporal_volume,0.012565132864209872,0.0005136656581987266,0.12454059891084561
DG,rh_inferiortemporal_volume,0.16174972581279484,-0.40635033434759527,0.07000604870280742
TG,rh_inferiortemporal_volume,0.4831073734940577,-1.4370704039105036,0.03512075659594045
UBIQUINONE,rh_inferiortemporal_volume,0.8650459444617705,0.4273832266846969,-0.008513543955648482
SPH,rh_isthmuscingulate_volume,0.2528585936915526,-0.526594493025274,0.05723219907642166
S1P,rh_isthmuscingulate_volume,0.2646282454980695,5.2527018136994625,0.055837178800443706
DHCER,rh_isthmuscingulate_volume,0.14361480459084175,-3.272027574693315,0.07316232564372745
CER,rh_isthmuscingulate_volume,0.10069045789119652,-95.19812683197448,0.08209122873999233
CER1P,rh_isthmuscingulate_volume,0.22042204312966973,0.005077090893397269,-0.06132771963910949
HEXCER,rh_isthmuscingulate_volume,0.0022423096481080126,-41.56253456911656,0.1521997840638411
HEX2CER,rh_isthmuscingulate_volume,0.5714757656071026,-4.837152293037945,0.028341464843430097
HEX3CER,rh_isthmuscingulate_volume,0.25874323501704605,-10.236970700549175,-0.05652923399986305
GM3,rh_isthmuscingulate_volume,0.03249887605572159,-21.48871564657738,-0.10680543727241024
GM1,rh_isthmuscingulate_volume,0.8165398870334317,0.043835272674629146,0.011621293485959272
SULFATIDE,rh_isthmuscingulate_volume,0.26957036359848696,-19.13663281778441,-0.055264125616458895
SM,rh_isthmuscingulate_volume,0.4804786779044585,-164.49946711583246,-0.03533192400695224
PA,rh_isthmuscingulate_volume,0.7190439689309125,0.06210639412026319,-0.01801919018444646
PC,rh_isthmuscingulate_volume,0.10923495342686856,-262.7115264191354,-0.08010363706024912
LPC,rh_isthmuscingulate_volume,0.27918107362205735,-191.14796062753857,-0.054169948112607114
PE,rh_isthmuscingulate_volume,0.2637574226006951,-566.0967059060531,0.05593891219585918
LPE,rh_isthmuscingulate_volume,0.9725724935709058,-72.70130053007588,0.0017223331733061996
PI,rh_isthmuscingulate_volume,0.5450830491435915,390.82924337803115,-0.03030713649759592
PIP1,rh_isthmuscingulate_volume,0.030040567049311004,-0.18386634429418966,0.10836147387933469
LPI,rh_isthmuscingulate_volume,0.14954460141573211,-1.5570568759665198,-0.07209857407838233
PS,rh_isthmuscingulate_volume,0.22664446108836522,4.034879588977696,0.06051052497441223
PG,rh_isthmuscingulate_volume,0.19922809644797285,0.3134929177743867,-0.06424191412946534
CE,rh_isthmuscingulate_volume,0.784811901634536,7167.236323411263,-0.013677713006513112
COH,rh_isthmuscingulate_volume,0.9899069933459695,24.80159173052812,-0.0006336912398224191
DE,rh_isthmuscingulate_volume,0.009089380475885984,62.77159223285514,0.13012286318094776
DEDE,rh_isthmuscingulate_volume,0.09155362096238297,0.12167980034907,0.08437076784088028
METHYL,rh_isthmuscingulate_volume,0.02911772901459707,-78.15032698310904,-0.10897384371915354
DIMETHYL,rh_isthmuscingulate_volume,0.034804688221529094,-0.48174108335672966,-0.10543470627146415
FA,rh_isthmuscingulate_volume,0.005618712079877081,-2408.4517622502585,0.13805746699390622
AC,rh_isthmuscingulate_volume,0.10161823909033381,-7.267213248620169,0.08186908978684145
CA,rh_isthmuscingulate_volume,0.30474636952742645,0.07167185729647803,0.05137791265961082
DXCA,rh_isthmuscingulate_volume,0.16329787862756914,0.038028222214108544,0.0697492273836572
DG,rh_isthmuscingulate_volume,0.8772236361272786,-1088.640016481603,-0.007738890060076064
TG,rh_isthmuscingulate_volume,0.4724317582276922,-3180.3586609679255,-0.03598228304771402
UBIQUINONE,rh_isthmuscingulate_volume,0.3141974156581955,25.486723724153197,-0.05038525327476122
SPH,rh_lateraloccipital_volume,0.17888094806610172,-0.006032228035022258,0.06726050341490965
S1P,rh_lateraloccipital_volume,0.9052119324176473,0.03064707738711615,0.005965142557590999
DHCER,rh_lateraloccipital_volume,0.7171032670543898,0.009504488253903655,0.018149207825677843
CER,rh_lateraloccipital_volume,0.5066312829583065,0.017976183667030163,0.033257828778654956
CER1P,rh_lateraloccipital_volume,0.49788233310233954,4.7702078303855274e-05,-0.03394520095121806
HEXCER,rh_lateraloccipital_volume,0.009970151765027701,-0.06695161804611871,0.12854936414156515
HEX2CER,rh_lateraloccipital_volume,0.3473355664221218,-0.15600234382890546,0.04705075524008683
HEX3CER,rh_lateraloccipital_volume,0.7314961494854963,-0.031084138659301923,-0.01718778311010745
GM3,rh_lateraloccipital_volume,0.057840888472593305,-0.07625129855820155,-0.09480924946864958
GM1,rh_lateraloccipital_volume,0.24049890134550908,-0.013992223401910527,0.0587465691340291
SULFATIDE,rh_lateraloccipital_volume,0.004685131343944143,0.07164944987875202,-0.14095397338178284
SM,rh_lateraloccipital_volume,0.26622762190536864,-10.039139744126782,-0.055650929645176456
