Regions1,Regions2,p_value,FoldChange,r
CC_Anterior,rh_caudalmiddlefrontal_volume,0.2144247078839699,0.06316823224283846,0.06213110567709647
rh_caudalanteriorcingulate_volume,rh_cuneus_volume,0.050997446601198364,-1.125994926544991,0.09752534702814433
rh_caudalmiddlefrontal_volume,rh_cuneus_volume,1.740422414019997e-08,0.2711403797142443,0.276794982241784
rh_cuneus_volume,rh_cuneus_volume,0.0,1.0,0.9999999999999999
rh_entorhinal_volume,rh_cuneus_volume,0.07449187480898338,0.07675849859032347,0.08916861602159651
rh_fusiform_volume,rh_cuneus_volume,1.2117895490208562e-12,-0.5559221893936206,0.344891283957933
rh_inferiorparietal_volume,rh_cuneus_volume,3.370232365788294e-07,-5.677102774151574,0.25143608407010115
rh_inferiortemporal_volume,rh_cuneus_volume,0.03252882711063545,-2.156472372173621,0.10678710813114863
rh_isthmuscingulate_volume,rh_cuneus_volume,3.062783537866111e-19,-0.38622460205796494,0.42742970398966107
rh_lateraloccipital_volume,rh_cuneus_volume,4.896218913735138e-38,0.9582062173633612,0.5840202000431364
rh_lateralorbitofrontal_volume,rh_cuneus_volume,8.852290574403749e-06,0.8810061893987,0.21986128711070457
rh_lingual_volume,rh_cuneus_volume,2.4358510028852984e-49,1.8438486738703497,0.6491287160983262
rh_medialorbitofrontal_volume,rh_cuneus_volume,0.004116944538977486,0.9361822885102933,0.14298348772732544
rh_middletemporal_volume,rh_cuneus_volume,3.293619823691834e-06,-6.137138220252378,0.22988927158594183
rh_parahippocampal_volume,rh_cuneus_volume,2.013441353035368e-07,0.052964753409960444,0.2560400884445038
rh_paracentral_volume,rh_cuneus_volume,4.643036289797013e-15,0.2702161050509314,0.37789701846814555
rh_parsopercularis_volume,rh_cuneus_volume,7.72343483405637e-07,0.17896536824964007,0.24382952374744488
rh_parsorbitalis_volume,rh_cuneus_volume,0.0059005034963899765,0.7806058451135823,0.137268341802599
rh_parstriangularis_volume,rh_cuneus_volume,4.144946639935356e-06,0.48894271752420504,0.2275979088121807
rh_pericalcarine_volume,rh_cuneus_volume,1.0385771589482776e-57,0.22371980809767228,0.6888382474418687
rh_postcentral_volume,rh_cuneus_volume,1.8183911666296425e-13,0.6932526135329684,0.35657608676316194
rh_posteriorcingulate_volume,rh_cuneus_volume,0.0022673361514965545,-1.4308245624326976,0.1520359089166054
rh_precentral_volume,rh_cuneus_volume,1.6426208391117904e-18,0.40281568974885973,0.4193602717935725
rh_precuneus_volume,rh_cuneus_volume,4.914201776491928e-22,-0.8315317057180164,0.4564902713019999
rh_rostralanteriorcingulate_volume,rh_cuneus_volume,0.0009205415534006492,0.42862041818643715,0.16486166898897897
rh_rostralmiddlefrontal_volume,rh_cuneus_volume,9.97088644289347e-09,0.9842918064739565,0.28128291075465134
rh_superiorfrontal_volume,rh_cuneus_volume,2.335142877750708e-08,-0.9312600954312805,0.27439387444231794
rh_superiorparietal_volume,rh_cuneus_volume,1.0416331518719943e-15,-4.038648474088953,0.38615372358486516
rh_superiortemporal_volume,rh_cuneus_volume,3.6605864025167506e-07,3.9697427973103747,0.2506890549827901
rh_supramarginal_volume,rh_cuneus_volume,6.052313408278902e-11,-2.406856507012211,0.3191283763570181
rh_transversetemporal_volume,rh_cuneus_volume,1.8302324213330725e-11,1.076650501408768,0.3272666035851547
rh_insula_volume,rh_cuneus_volume,0.012197867988743744,0.3254829958243387,0.12506068988237598
lh_caudalanteriorcingulate_volume,rh_cuneus_volume,0.002639304740747578,1.6018795551738492,0.1497768748684416
lh_caudalmiddlefrontal_volume,rh_cuneus_volume,4.782081711246209e-06,-0.808264119840672,0.22616075139489306
lh_cuneus_volume,rh_cuneus_volume,1.3824341495145103e-52,0.24072786977268976,0.6652649631323185
lh_entorhinal_volume,rh_cuneus_volume,0.44402802619507825,0.08038558867539217,0.03832830443356347
lh_fusiform_volume,rh_cuneus_volume,2.009869001295096e-10,1.2509166662860023,0.3107069973735516
lh_inferiorparietal_volume,rh_cuneus_volume,8.319761796336895e-12,0.5758979095831523,0.33250153133475185
lh_inferiortemporal_volume,rh_cuneus_volume,0.0024845089594989203,-0.2398461737453548,0.15067931347269914
lh_isthmuscingulate_volume,rh_cuneus_volume,9.61329735055053e-16,1.7822755551252438,0.386590402905233
