Regions1,Regions2,p_value,FoldChange,r
CC_Anterior,rh_caudalanteriorcingulate_volume,0.0008107956451440263,-3.2626343986485913,-0.08514605560827829
rh_caudalanteriorcingulate_volume,rh_caudalmiddlefrontal_volume,2.7015756993230996e-22,3.4862165807086236,0.2436081930430327
rh_caudalmiddlefrontal_volume,rh_caudalmiddlefrontal_volume,0.0,1.0,1.0
rh_cuneus_volume,rh_caudalmiddlefrontal_volume,2.6760962121489333e-20,5.757721708955924,0.23190591841952776
rh_entorhinal_volume,rh_caudalmiddlefrontal_volume,5.871440616800478e-06,-3.8510684823217383,0.11502033724267328
rh_fusiform_volume,rh_caudalmiddlefrontal_volume,2.4449134247831227e-40,19.34857725258825,0.32916463774853805
rh_inferiorparietal_volume,rh_caudalmiddlefrontal_volume,1.327955971728242e-53,31.461906666692077,0.37792920711896416
rh_inferiortemporal_volume,rh_caudalmiddlefrontal_volume,1.8262604710691725e-41,25.349173375179358,0.33366024716698856
rh_isthmuscingulate_volume,rh_caudalmiddlefrontal_volume,3.107962126380449e-42,-0.6397247123816607,0.3366863753171234
rh_lateraloccipital_volume,rh_caudalmiddlefrontal_volume,8.514274895029383e-30,12.358743444888864,0.28285897554094636
rh_lateralorbitofrontal_volume,rh_caudalmiddlefrontal_volume,4.596392049238421e-45,-0.11474808233989484,0.34754021185037837
rh_lingual_volume,rh_caudalmiddlefrontal_volume,1.1060834187007367e-23,-6.378179321182992,0.25139253668914796
rh_medialorbitofrontal_volume,rh_caudalmiddlefrontal_volume,2.1413909652703215e-33,7.188565211718729,0.2996312592083299
rh_middletemporal_volume,rh_caudalmiddlefrontal_volume,6.434314005667173e-62,35.275964134544424,0.4046971554507412
rh_parahippocampal_volume,rh_caudalmiddlefrontal_volume,4.926540882335227e-14,-6.398174049194118,0.19013389815416043
rh_paracentral_volume,rh_caudalmiddlefrontal_volume,4.942522340467642e-63,5.687410373084434,0.40810490403933
rh_parsopercularis_volume,rh_caudalmiddlefrontal_volume,1.5684379534795933e-59,7.202024881254041,0.39726245825677714
rh_parsorbitalis_volume,rh_caudalmiddlefrontal_volume,1.2763503686437296e-12,1.205532849860391,0.1792898634052625
rh_parstriangularis_volume,rh_caudalmiddlefrontal_volume,3.926969555842299e-18,1.599783879229919,0.2184267872683231
rh_pericalcarine_volume,rh_caudalmiddlefrontal_volume,2.868092348225091e-17,-2.1739407060971256,0.21279727133578702
rh_postcentral_volume,rh_caudalmiddlefrontal_volume,1.1426290351720796e-59,14.583247045296003,0.39769611541618466
rh_posteriorcingulate_volume,rh_caudalmiddlefrontal_volume,1.6931839662303698e-46,11.469185837725558,0.3528790447858045
rh_precentral_volume,rh_caudalmiddlefrontal_volume,3.2986664403385177e-129,26.910463102882566,0.5618978883833742
rh_precuneus_volume,rh_caudalmiddlefrontal_volume,7.008365362507774e-61,12.104814223480611,0.40149010850694333
