Lipids,Regions,p_value,FoldChange,r
CA,rh_fusiform_volume,0.17947744778797592,0.004754248257360617,0.04724175881613365
DXCA,rh_fusiform_volume,0.5084223944826183,0.005574016326146071,0.0232827838736291
DG,rh_fusiform_volume,0.7827375624949985,-68.14939270577756,0.009709754222100948
TG,rh_fusiform_volume,0.7635134928603347,-170.0146476727956,-0.010594116042781468
UBIQUINONE,rh_fusiform_volume,0.4525139985079015,-6.988874092897795,-0.026448129204645652
SPH,rh_inferiorparietal_volume,0.3091301215112612,0.00010358452211261382,0.035801431823689944
S1P,rh_inferiorparietal_volume,0.02049665732754411,-0.016848663596827528,-0.08145648658314653
DHCER,rh_inferiorparietal_volume,0.0027963068660931925,-0.0145445222363305,0.10496951465280707
CER,rh_inferiorparietal_volume,0.17385626273074353,0.038358616483873044,0.04785872846224553
CER1P,rh_inferiorparietal_volume,0.0016920291069328194,7.132273137505006e-05,-0.11021495873344792
HEXCER,rh_inferiorparietal_volume,0.2260617333893879,0.08297833835020231,0.04260779041469609
HEX2CER,rh_inferiorparietal_volume,0.0012373724891537677,0.08564507560423137,0.11337400801354189
HEX3CER,rh_inferiorparietal_volume,0.24395715284174668,0.03647847982338643,-0.04101076735992283
GM3,rh_inferiorparietal_volume,3.7479499527949875e-06,0.03547774345724491,-0.16178037182760666
GM1,rh_inferiorparietal_volume,0.1222223032692286,0.002838333395360015,-0.05438120542721612
SULFATIDE,rh_inferiorparietal_volume,0.014924344857180503,0.02160812288399237,-0.08555757747293258
SM,rh_inferiorparietal_volume,0.003721754180915556,6.550436514811292,0.10187981058033642
PA,rh_inferiorparietal_volume,0.47028304291466105,-0.0007729630290759088,-0.025420024990244827
PC,rh_inferiorparietal_volume,0.0008830669931237197,-8.761610866006132,-0.11669396494067838
LPC,rh_inferiorparietal_volume,0.020435168430261316,-4.767270211019614,-0.08149609946498755
PE,rh_inferiorparietal_volume,0.09306351214216402,-5.31414598478228,-0.05908624018166354
LPE,rh_inferiorparietal_volume,0.06506351204581019,-0.20094634457221072,-0.06489243344759879
PI,rh_inferiorparietal_volume,0.8630616449576556,-1.5892781889727745,0.006073343280317065
PIP1,rh_inferiorparietal_volume,9.314831024788605e-06,-0.00034256601011637495,0.1551337557289771
LPI,rh_inferiorparietal_volume,0.0016889862980989407,-0.08713668722047142,-0.11023335758827432
PS,rh_inferiorparietal_volume,0.3710566607746218,-0.018520815157807388,0.031489689228777276
PG,rh_inferiorparietal_volume,0.019487102253484025,-0.007342546351084818,0.08212039720672477
CE,rh_inferiorparietal_volume,0.1577560741732997,37.66696500595155,-0.049712593563332456
COH,rh_inferiorparietal_volume,0.04500157376912333,4.339823877826403,0.07050067662941753
DE,rh_inferiorparietal_volume,0.032457919576056586,0.10937775502639678,-0.07520335705858379
DEDE,rh_inferiorparietal_volume,0.7922469658954401,0.0015469494342082244,-0.00927457889629695
METHYL,rh_inferiorparietal_volume,0.0025162965136788684,0.5300644363247052,-0.1060900067441486
DIMETHYL,rh_inferiorparietal_volume,0.004711458473546974,0.20906596141276668,-0.09926930562713646
FA,rh_inferiorparietal_volume,0.6003631782671894,-3.4573539513208513,-0.018445534505102966
AC,rh_inferiorparietal_volume,0.2665634015175841,-0.005325237865880838,-0.039106608810959925
CA,rh_inferiorparietal_volume,0.8687740461932261,-0.00011890929813112502,0.005817628079536869
DXCA,rh_inferiorparietal_volume,0.5765374400219022,0.00010999241283709201,0.01966254531342251
DG,rh_inferiorparietal_volume,0.3378134531566447,-10.056434884255202,0.03374144875999324
TG,rh_inferiorparietal_volume,0.1403357083134145,-19.473101325761633,0.051887441668635216
UBIQUINONE,rh_inferiorparietal_volume,0.2647882613247968,0.017439592573585756,0.0392519949355457
SPH,rh_inferiortemporal_volume,0.16000798394304272,0.0011218412696275826,0.04944497669999187
S1P,rh_inferiortemporal_volume,0.47521474827822247,-0.036147666525994014,-0.025138512414982345
DHCER,rh_inferiortemporal_volume,0.023236897372525503,0.015436952070417625,0.07978810092398879
CER,rh_inferiortemporal_volume,0.4680041203146626,0.01676642940031896,0.0255506600213113
CER1P,rh_inferiortemporal_volume,0.002206951818055211,-0.000314603604199228,-0.10746880478337664
HEXCER,rh_inferiortemporal_volume,0.5931779048698144,-0.16106095986636515,-0.018810178645763592
HEX2CER,rh_inferiortemporal_volume,0.6238873720468279,-0.045696387962184185,0.017265142914855137
HEX3CER,rh_inferiortemporal_volume,2.5852701804795754e-05,-0.11515349399434648,-0.14733793494078745
GM3,rh_inferiortemporal_volume,1.3122321230255633e-06,0.00752581747159698,-0.16912600260399804
GM1,rh_inferiortemporal_volume,0.002662332381779422,-0.005790486834109421,-0.1054921966606528
SULFATIDE,rh_inferiortemporal_volume,0.049139621491490766,-0.15165280220003474,-0.06919340782763238
SM,rh_inferiortemporal_volume,0.416784146250605,-4.435146311852606,-0.028587225645598572
PA,rh_inferiortemporal_volume,0.9669935670228826,-0.0012397542463626887,0.0014570685852978928
PC,rh_inferiortemporal_volume,0.003600482020841215,5.282204748428495,-0.10224195492184131
LPC,rh_inferiortemporal_volume,0.7367253993796098,4.071625960984765,-0.011837802907380394
PE,rh_inferiortemporal_volume,0.9211108538319185,3.219640454170903,-0.0034872501130238996
LPE,rh_inferiortemporal_volume,0.027113706419161297,0.5699078090676145,-0.07769779247493351
PI,rh_inferiortemporal_volume,0.6186932701612259,3.4887161854045345,-0.017524064115235185
PIP1,rh_inferiortemporal_volume,1.249650876834716e-06,0.0015872815189087294,0.16946039782993275
LPI,rh_inferiortemporal_volume,0.5709751456149568,0.05764907606658343,0.019950019883656495
PS,rh_inferiortemporal_volume,0.24076169210329337,-0.002866350710736536,0.04128972868836468
PG,rh_inferiortemporal_volume,0.18684671079191523,0.013044828162765086,0.046454270477140625
CE,rh_inferiortemporal_volume,0.013017735523579224,-63.36550530549825,-0.08727590848651987
COH,rh_inferiortemporal_volume,0.5629175205915343,7.261886055725089,-0.020368834197110136
DE,rh_inferiortemporal_volume,0.7834067315150374,-5.0925745791838075,-0.009679083594336975
DEDE,rh_inferiortemporal_volume,0.45501183242408116,-0.020757367468483293,0.02630225921608721
METHYL,rh_inferiortemporal_volume,0.7664752713955105,0.08975469104640953,-0.01045744438752419
DIMETHYL,rh_inferiortemporal_volume,0.8565362842584604,0.10146720088681889,-0.006365843068894398
FA,rh_inferiortemporal_volume,0.5790807655356839,-19.119806403780842,0.019531535155530765
AC,rh_inferiortemporal_volume,0.4216571852084417,-0.05782771444723039,-0.028289384045066958
CA,rh_inferiortemporal_volume,0.5648328818146681,-0.0008706821774957807,0.02026901994077391
DXCA,rh_inferiortemporal_volume,0.5478784652809515,-0.0009044961666193735,0.021158353855310258
DG,rh_inferiortemporal_volume,0.017048909781690002,22.12586307029291,0.08385692177349553
TG,rh_inferiortemporal_volume,0.015878492155987585,49.87395726335107,0.08476914694042995
UBIQUINONE,rh_inferiortemporal_volume,0.9200932963137287,0.6921630215723634,0.0035323806074405426
SPH,rh_isthmuscingulate_volume,0.6303745115363757,-0.0018112476980428381,-0.016943066866916746
S1P,rh_isthmuscingulate_volume,0.0025112453821990364,-0.0485182757128228,-0.10611124552846608
DHCER,rh_isthmuscingulate_volume,0.001770074834000086,0.007054432321957284,0.10975312957592709
CER,rh_isthmuscingulate_volume,0.014418264486433392,-0.3747554936281014,0.0859939238185963
CER1P,rh_isthmuscingulate_volume,0.02101865272362974,-0.0007845807962409797,-0.08112430539155764
HEXCER,rh_isthmuscingulate_volume,0.08971722902173364,-0.09997160750914352,-0.05969860871444903
HEX2CER,rh_isthmuscingulate_volume,0.6356940623777282,0.19428320473144403,-0.01668001294152296
HEX3CER,rh_isthmuscingulate_volume,0.8052165038984286,-0.25890203698560654,0.008683316211881079
GM3,rh_isthmuscingulate_volume,0.30939360214638356,-0.2049162632075388,-0.035781952171757385
GM1,rh_isthmuscingulate_volume,0.00038095719918008667,0.00893650852957508,-0.12462001460053529
SULFATIDE,rh_isthmuscingulate_volume,0.6334043666658468,0.13011163158276645,-0.01679312455036157
SM,rh_isthmuscingulate_volume,0.03371499482668158,12.212857738061247,0.07466822922251232
PA,rh_isthmuscingulate_volume,0.31363670678360356,-0.0008965548829420763,-0.03546974479253526
PC,rh_isthmuscingulate_volume,0.9730893660279254,9.40082479756889,-0.0011878561484262077
LPC,rh_isthmuscingulate_volume,0.9315386703948131,-18.560668470357488,0.0030250739326545804
PE,rh_isthmuscingulate_volume,0.5694788073267185,-15.575540718659852,-0.02002758110530577
LPE,rh_isthmuscingulate_volume,0.25233395483173976,-0.2967779640340959,-0.040291422310868956
PI,rh_isthmuscingulate_volume,0.014990681348636126,9.492851671126692,0.0855013500150469
PIP1,rh_isthmuscingulate_volume,0.0074463344240474,0.003087558970279581,0.09402686154638198
LPI,rh_isthmuscingulate_volume,0.3300691719806503,0.03650176992157822,-0.034286067592391556
PS,rh_isthmuscingulate_volume,0.7233878262811549,-0.04246126511347528,0.012462467583474234
PG,rh_isthmuscingulate_volume,0.2052802936840023,0.024746856562754216,0.044579848508153545
CE,rh_isthmuscingulate_volume,0.10130639693357522,-241.54794453108133,0.05764967629395153
COH,rh_isthmuscingulate_volume,0.12188216061859196,17.739733746001157,0.05443070550638199
DE,rh_isthmuscingulate_volume,0.16268656829915226,-2.226038644194529,0.04913032959921145
DEDE,rh_isthmuscingulate_volume,0.00017204784453227738,-0.006326376991142607,0.1317125315089838
METHYL,rh_isthmuscingulate_volume,0.4543424247935748,-0.10586924174959049,0.026341307376568018
DIMETHYL,rh_isthmuscingulate_volume,0.7939860311125374,-0.04106013580497202,0.009195149361171755
FA,rh_isthmuscingulate_volume,0.06111146247645117,7.600700757964178,-0.065870541841362
AC,rh_isthmuscingulate_volume,0.36527378541555994,0.1320917590158233,-0.03187201735406441
CA,rh_isthmuscingulate_volume,0.640151749807723,0.0026055334213812985,-0.016460292602337435
DXCA,rh_isthmuscingulate_volume,0.7754279489513359,0.0008013329555770168,0.010045267116224279
DG,rh_isthmuscingulate_volume,0.2125588660976516,38.63495224023081,0.0438734501818432
TG,rh_isthmuscingulate_volume,0.07037712211880065,161.70551157997212,-0.0636516788591451
UBIQUINONE,rh_isthmuscingulate_volume,0.19519128210157896,2.822425620271649,0.04558973093230983
SPH,rh_lateraloccipital_volume,0.03454320019594254,0.0002444262946975159,0.07432490412861117
S1P,rh_lateraloccipital_volume,0.02723216018082497,0.009934199711762485,-0.07763809326035045
DHCER,rh_lateraloccipital_volume,0.0012649542262054034,0.011706252773335287,0.11315402474427427
CER,rh_lateraloccipital_volume,1.0805079923670742e-05,0.22312510094186508,0.15402394367732453
CER1P,rh_lateraloccipital_volume,0.03247216390981953,-5.988526405288289e-05,-0.07519719488766154
HEXCER,rh_lateraloccipital_volume,0.3700581515298213,0.048834705332849615,0.03155543889465908
HEX2CER,rh_lateraloccipital_volume,0.000528080744583366,0.03959797162030119,0.12159689327866867
HEX3CER,rh_lateraloccipital_volume,0.5080181796164428,0.03951777592182757,-0.023304978354426936
GM3,rh_lateraloccipital_volume,0.0334995447261442,0.019131714564061438,-0.07475872096764757
GM1,rh_lateraloccipital_volume,0.576276926710411,-0.00021761977603819844,-0.019675980035549254
SULFATIDE,rh_lateraloccipital_volume,0.011844571904185532,0.0095482618839592,-0.08844721032320103
SM,rh_lateraloccipital_volume,0.5737779142079638,3.8556172454959334,0.01980500039190954
PA,rh_lateraloccipital_volume,0.3979044986001698,0.00034504325385377026,0.029761046607148504
PC,rh_lateraloccipital_volume,0.01027959350254053,5.751388142496322,-0.09018112586297701
LPC,rh_lateraloccipital_volume,0.5857235594370152,0.4152075463098769,0.019190619230325407
PE,rh_lateraloccipital_volume,0.017491629647528973,2.5034798599980403,-0.0835261270219769
LPE,rh_lateraloccipital_volume,0.6087071012801327,0.1063320749682362,-0.018024551400567294
PI,rh_lateraloccipital_volume,0.9044139036422262,0.6710750372898412,0.004228567989937863
