Lipids,Regions,p_value,FoldChange,r
DIMETHYL,rh_caudalmiddlefrontal_volume,0.6566381926788132,6.312162004531033,0.015653121732897214
FA,rh_caudalmiddlefrontal_volume,0.46540655309552326,-164.04778993312812,0.025699990471970694
AC,rh_caudalmiddlefrontal_volume,0.7085382259196907,-0.40574516206655503,-0.0131625947776261
CA,rh_caudalmiddlefrontal_volume,0.4186461581835035,0.008358075789354704,-0.028473178759862227
DXCA,rh_caudalmiddlefrontal_volume,0.8134266356343011,-0.002072840378252057,0.008310297798992903
DG,rh_caudalmiddlefrontal_volume,0.7233282754729158,173.5327258757163,-0.01246526529449326
TG,rh_caudalmiddlefrontal_volume,0.646924876860755,588.2001700049005,0.01612766093295093
UBIQUINONE,rh_caudalmiddlefrontal_volume,0.8777871804408321,7.380801931781869,-0.0054147723513074675
SPH,rh_cuneus_volume,0.652269983136719,0.001451504743640421,0.015866172171058148
S1P,rh_cuneus_volume,0.0041229714609670775,-0.06016056147326448,-0.10075353699545075
DHCER,rh_cuneus_volume,0.002374711096382405,-0.038997679280713494,0.10670064811042268
CER,rh_cuneus_volume,0.009035212298530333,-1.0729336123604394,0.09173622569994179
CER1P,rh_cuneus_volume,0.002742889179194314,-0.0006621706793605816,-0.10517512001136407
HEXCER,rh_cuneus_volume,0.535995786359111,-0.252131941238068,-0.02178975059252431
HEX2CER,rh_cuneus_volume,0.15112023099361246,-0.054136343134507395,0.050518391951934125
HEX3CER,rh_cuneus_volume,0.4658244169777333,-0.18748286202158718,-0.025675936960444644
GM3,rh_cuneus_volume,0.0007373276939782995,-0.19094476267887386,-0.11843478465209752
GM1,rh_cuneus_volume,0.05212073707098534,0.0009863287056330048,-0.06830768868412551
SULFATIDE,rh_cuneus_volume,0.0021801005936431432,-0.007121317674117273,-0.10759668437026107
SM,rh_cuneus_volume,0.33409435079106925,-28.964191804770287,0.03400198127518234
PA,rh_cuneus_volume,0.211428085759597,0.0020676335415245133,0.04398203541300256
PC,rh_cuneus_volume,0.03250270931396261,-16.561868927770593,-0.07518398857933549
LPC,rh_cuneus_volume,0.5377134045298456,0.2707503905260309,-0.021698054549931702
PE,rh_cuneus_volume,0.029930710134520918,3.8693092534619886,-0.07633514725075015
LPE,rh_cuneus_volume,0.011189676877084827,-0.36333133368918863,-0.08914650227194308
PI,rh_cuneus_volume,0.8343366406962033,-1.2210212476431277,0.007364362009582038
PIP1,rh_cuneus_volume,0.002034101988283666,-0.0008965116508706279,0.10831830761705903
LPI,rh_cuneus_volume,0.014651617780580163,-0.24696284073903482,-0.08579107798471337
PS,rh_cuneus_volume,0.8009085005933148,0.03926241398764041,-0.008879432799450167
PG,rh_cuneus_volume,0.5733312292760911,0.011811548796395187,0.01982809002615623
CE,rh_cuneus_volume,0.9095783733756889,-130.4475727692782,0.003999089210258743
COH,rh_cuneus_volume,0.7975911389066981,1.3796910998474885,-0.009030638919803265
DE,rh_cuneus_volume,0.198084930957871,-0.9846049483764604,0.045296265612115444
DEDE,rh_cuneus_volume,0.026461363930702485,0.004538104884764091,0.0780306497830068
METHYL,rh_cuneus_volume,0.23969696488750988,-2.354839072053849,0.041383256175117226
DIMETHYL,rh_cuneus_volume,0.2179139279093502,-0.6376237204620517,0.04336479548641878
FA,rh_cuneus_volume,0.3850044566535024,63.90202650316943,0.03058244449845459
AC,rh_cuneus_volume,0.23414986711019037,-0.02187717265887952,0.04187531725629483
CA,rh_cuneus_volume,0.09288936599658112,5.014256167880671e-05,-0.05911766960159404
DXCA,rh_cuneus_volume,0.04504390996355869,0.00044888095472469895,-0.07048679955373977
DG,rh_cuneus_volume,0.014589042929002628,26.856148452649492,0.0858451915376891
TG,rh_cuneus_volume,0.4379073696726355,81.63750316395813,-0.027310417779940227
UBIQUINONE,rh_cuneus_volume,0.011380387655348212,0.7448154980976422,-0.08893919932522697
SPH,rh_entorhinal_volume,0.2304894368635479,0.009582995436655395,-0.04220454965903486
S1P,rh_entorhinal_volume,0.7096546873437547,0.08720363817836756,-0.013109778466826824
DHCER,rh_entorhinal_volume,0.004189432085578222,0.012057633428693305,0.10057664038555811
CER,rh_entorhinal_volume,0.004084607439617383,-0.3602881779672189,0.10085682877981474
